person_id,title,firm,Calculated Duration
1054,Lead Database Specialist - Oracle Database Administrator Lead - Oracle Database Administrator I. T. Analyst - Oracle Database Administrator Solution Integrator - Oracle Database Administrator Oracle Database Administrator Oracle Database Administrator,"Bureau of Labor Statistics Universal American Health Care Northern Trust Ericsson Aceliant, Megasoft IMEI, GSMA - Megasoft",19
1055,Senior SQL Database Administrator Senior Database Administrator,Automated Financial Systems Jefferson Health Systems,24
1056,Database Developer Marketing Database Administrator,"Market Data Retrieval Hasler, Inc",24
1057,ERP Systems Administrator Assist housekeeping Workamper Contractor Assistant Director of Database Services Database Administrator Owner Database Administrator Network Engineer,SCHOOLCRAFT COLLEGE ORCHARD LAKE CAMPGROUND LAKE OUACHITA STATE PARK FORTITUDE SYSTEMS CORNERSTONE UNIVERISTY COLORADO CHRISTISTIAN UNIVERSITY CORNERSTONE CHRISTIAN BOOKS & GIFTS SKY BANK SKY BANK,28
1058,Sr. Database Administrator Sr. Oracle Database Administrator Database Systems Engineer Database Administration/Systems Administration Database Administrator/Systems Administrator Oracle/PeopleSoft Administrator UNIX Systems Administrator Database Programmer/Systems Administrator,Raytheon Golden State Water Verio Inc HeartCenteronline (Ivilliage NBC Universal) Echobridge Technologies Sunglass Hut International Glen Raven Mills Softbank Services Group,26
1059,Project Manager / Team Lead Database Administrator Programmer,"Verizon Communications, Inc Bell Atlantic Bell Atlantic",28
1060,Jr. Database Administrator,CIT,5
1061,Database Administrator II Programmer Programmer Analyst,Shelter Insurance Rose International Shelter Insurance,28
1062,Oracle Database Administrator for FVE project Oracle Database Administrator for US Courts project Oracle Database Administrator Oracle Database Administrator Contractor / Oracle DBA Oracle Database Administrator / Banner Alumni Technical Consultant Oracle Database Manager / Administrator Oracle Database Administrator,"CGI Technologies, Incorporated CGI Technologies, Incorporated Communications Test Design Incorporated Commerce Bank Tek Systems / US Navy SCT (now Sungard), Malvern, PA EXE Technologies, Eddystone, PA Children's Hospital of Philadelphia, Philadelphia, PA",24
1063,Senior Oracle Database Administrator Senior Oracle Database Administrator Senior Oracle Database Administrator Senior Oracle Administrator Oracle Application Database Administrator,SEI investments Thomson Reuters Corporation Sony Corporation of America Bayer Business Services Directv,16
1064,Database Administrator Customer Service Representative Waiter,Aspen Ranger LLC Micro Center Riderwood Village,0
